NOMARBITRO;TPOARBITRO;NOMPAISORIGEM
AL JASSIM ABDULRAHMAN;ÁRBITRO;CATAR
ALBERTO MORÍN;ASSISTENTE;MÉXICO
ALESSANDRO GIALLATINI;ASSISTENTE;ITÁLIA
ALIREZA FAGHANI;ÁRBITRO;IRÃ
ANDRAZ KOVACIC;ASSISTENTE;ESLOVÊNIA
ANDRÉS MATONTE;QUARTO ÁRBITRO;URUGUAI
ANTON SCHETININ;ASSISTENTE;AUSTRÁLIA
ARSENIO MARINGULE;ASSISTENTE;MOÇAMBIQUE
ASHLEY BEECHAM;ASSISTENTE;AUSTRÁLIA
BRUNO BOSCHILIA;ASSISTENTE;BRASIL
BRUNO RAPHAEL PIRES;ASSISTENTE;BRASIL
CÉSAR RAMOS;ÁRBITRO;MÉXICO
CHRIS BEATH;ÁRBITRO;AUSTRÁLIA
CIRO CARBONE;ASSISTENTE;ITÁLIA
CLÉMENT TURPIN;ÁRBITRO;FRANÇA
COREY PARKER;ASSISTENTE;EUA
CYRIL GRINGORE;ASSISTENTE;FRANÇA
DANIELE ORSATO;ÁRBITRO;ITÁLIA
DANILO RICARDO SIMON MANIS;ASSISTENTE;BRASIL
DAVID JONATHAN MORÁN SANTOS;ASSISTENTE;EL SAVADOR
DIEGO BONFA;ASSISTENTE;ARGENTINA
ESTÁDIO 974;ESTÁDIO DE FUTEBOL;NI
EZEQUIEL BRAILOSVKY;ASSISTENTE;ARGENTINA
FACUNDO TELLO;ÁRBITRO;ARGENTINA
FERNANDO RAPALLINI;ÁRBITRO;ARGENTINA
GABRIEL CHADE;ASSISTENTE;ARGENTINA
HASAN AL-MAHRI;ASSISTENTE;EMIRADOS ÁRABES UNIDOS
HÉCTOR SAID MARTÍNEZ SORTO;QUARTO ÁRBITRO;HONDURAS
ISMAIL ELFATH;ÁRBITRO;EUA
ISTVAN KOVACS;QUARTO ÁRBITRO;ROMÊNIA
IVAN ARCIDES BARTON CISNEROS;ÁRBITRO;EL SALVADOR
JANNY SIKAZWE;ÁRBITRO;ZAMBIA
JERSON EMILIANO;ASSISTENTE;ANGOLA
JUAN PABLO BELATTI;ASSISTENTE;ARGENTINA
KEVIN ORTEGA;QUARTO ÁRBITRO;PERU
KYLE ATKINS;ASSISTENTE;EUA
MA NING;QUARTO ÁRBITRO;CHINA
MAGUETTE NDIAYE;QUARTO ÁRBITRO;SENEGAL
MIGUEL ÁNGEL HERNÁNDEZ;ASSISTENTE;MÉXICO
MOHAMMADREZA ABOLFAZLI;ASSISTENTE;IRÃ
MOHAMMADREZA MANSOURI;ASSISTENTE;IRÃ
MOHAMMED ABDULLA HASSAN;ÁRBITRO;EMIRADOS ÁRABES UNIDOS
NICOLAS DANOS;ASSISTENTE;FRANÇA
RAPHAEL CLAUS;ÁRBITRO;BRASIL
RODRIGO FIGUEIREDO HENRIQUE CORREA;ASSISTENTE;BRASIL
SAÍD MARTÍNEZ;QUARTO ÁRBITRO;HONDURAS
SALIMA MUKANSANGA;QUARTO ÁRBITRO;RUANDA
SAOUD AHMED ALMAQALEH;ASSISTENTE;CATAR
SLAVKO VINCIC;ÁRBITRO;ESLOVÊNIA
SOURU PHATSOANE;ASSISTENTE;LESOTO
STÉPHANIE FRAPPART;QUARTO ÁRBITRO;FRANÇA
SULTAN MOHAMED AL HAMMADI;ASSISTENTE;EMIRADOS ÁRABES UNIDOS
TALEB AL MARRI;ASSISTENTE;CATAR
TOMAZ KLANCNIK;ASSISTENTE;ESLOVÊNIA
VICTOR GOMES;ÁRBITRO;ÁFRICA DO SUL
WILTON PEREIRA SAMPAIO;ÁRBITRO;BRASIL
YOSHIMI YAMASHITA;QUARTO ÁRBITRO;JAPÃO
ZACHARI ZEEGELAAR;ASSISTENTE;SURINAME
ZAKHELE SIWELA;ASSISTENTE;ÁFRICA DO SUL
MARIO ESCOBAR;ÁRBITRO;GUATEMALA
CALEB WALES;ASSISTENTE;TRINIDAD E TOBAGO
JUAN MORA;ASSISTENTE;COSTA RICA
MAGUETTE NDIAYE;QUARTO ÁRBITRO;SENEGAL
MATEU LAHOZ;ÁRBITRO ;ESPANHA
PAU DEVIS;ASSISTENTE;ESPANHA
ROBERTO DÍAZ PÉREZ DEL PALOMAR;ASSISTENTE;ESPANHA
MUSTAPHA GHORBAL;ÁRBITRO;ARGÉLIA
MOKRANE GOURARI;ASSISTENTE;ARGÉLIA
ABDELHAK ETCHIALI;ASSISTENTE;ARGÉLIA
JESÚS VALENZUELA;ÁRBITRO;VENEZUELA
JORGE URREGO MARTÍNEZ;ASSISTENTE;VENEZUELA
TULIO MORENO;ASSISTENTE;VENEZUELA
DANIEL SIEBERT;ÁRBITRO;ALEMANHA
RAFAEL FOLTYN;ASSISTENTE;ALEMANHA
JAN SEIDEL;ASSISTENTE;ALEMANHA
SZYMON MARCINIAK;ÁRBITRO;POLÔNIA
PAWEL SOKOLNICKI;ASSISTENTE ;POLÔNIA
TOMASZ LISTKIEWICZ;ASSISTENTE;POLÔNIA
MICHAEL OLIVER;ÁRBITRO;INGLATERRA
STUART BURT;ASSISTENTE;INGLATERRA
SIMON BENNETT;ASSISTENTE;INGLATERRA
NICOLÁS TARÁN;ASSISTENTE;URUGUAI
MARTÍN SOPPI;ASSISTENTE;URUGUAI
DANNY MAKKELIE;ÁRBITRO;HOLANDA
HESSEL STEEGSTRA;ASSISTENTE;HOLANDA
JAN DE VRIES;ASSISTENTE;HOLANDA
ANTHONY TAYLOR;ÁRBITRO;INGLATERRA
GARY BESWICK;ASSISTENTE;INGLATERRA
ADAM NUNN;ASSISTENTE;INGLATERRA
ABDULRAHMAN AL-JASSIM;QUARTO ÁRBITRO;CATAR
BAKARY GASSAMA;ÁRBITRO;GAMBIA
ELVIS NOUPUE;ASSISTENTE;CAMARÕES
MAHMOUD AHMED KAMEL ABO EL REGAL;ASSISTENTE;EGITO
MATTHEW CONGER;ÁRBITRO;NOVA ZELÂNCIA
MARK RULE;ASSISTENTE;NOVA ZELÂNDIA
TEVITA MAKASINI;ASSISTENTE;TONGA
SALIMA MUKANSANGA;QUARTO ÁRBITRO;RUANDA
NEUZA INES BACK;ASSISTENTE;BRASIL
KAREN DIAZ MEDINA;ASSISTENTE;MÉXICO
KATHRYN NESBITT;ASSISTENTE;EUA
