NOMFASE;NUMRODADA;NOMSELECAO;NOMJOGADOR;NOMPOSICAO;NUMCAMISA;DTHCARTAO;INDTEMPOJOGO;NUMCARTAO;TPOCARTAO
FASE DE GRUPO;1ª RODADA;CATAR;AL-SHEEB;GOL;1;2022-11-20 13:15:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;EQUADOR;MOISÉS CAICEDO;VOL;23;2022-11-20 13:28:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;CATAR;BOUDIAF;VOL;12;2022-11-20 13:35:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;EQUADOR;JHEGSON MÉNDEZ;VOL;20;2022-11-20 14:10:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;CATAR;ALMOEZ ALI;ATA;19;2022-11-20 14:20:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;CATAR;AKRAM AFIF;ATA;11;2022-11-20 14:31:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;IRÃ;JAHANBAKHSH;ATA;7;2022-11-21 10:24:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;INGLATERRA;SHAW;LAE;3;2022-11-21 11:03:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;HOLANDA;DE LIGT;ZAD;3;2022-11-21 14:10:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;SENEGAL;NAMPALYS MENDY;VOL;6;2022-11-21 14:49:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;SENEGAL;GANA GUEYE;VOL;5;2022-11-21 14:50:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;EUA;DEST;LAD;2;2022-11-21 16:11:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;EUA;MCKENNIE;VOL;8;2022-11-21 16:12:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;BALE;ATA;11;2022-11-21 16:39:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;MEPHAM;ZAD;5;2022-11-21 16:46:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;HOLANDA;MALACIA;LAE;16;2022-11-21 17:06:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;EUA;ACOSTA;VOL;23;2022-11-21 17:55:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;AL-MALKI;VOL;8;2022-11-22 08:21:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;AL-BULAYHI;ZAE;5;2022-11-22 08:29:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;SALEM AL-DAWSARI;ATA;10;2022-11-22 08:34:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;ABDULHAMID;LAD;12;2022-11-22 08:36:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;AL-ABID;MEC;18;2022-11-22 08:42:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;AL-OWAIS;GOL;21;2022-11-22 08:47:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;DINAMARCA;KRISTENSEN;LAD;13;2022-11-22 10:24:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;DINAMARCA;JENSEN;VOL;7;2022-11-22 11:32:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;TUNÍSIA;KHENISSI;ATA;11;2022-11-22 11:40:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;MÉXICO;JORGE SÁNCHEZ;LAD;19;2022-11-22 13:28:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;MÉXICO;HÉCTOR MORENO;ZAE;15;2022-11-22 14:11:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;POLÔNIA;FRANKOWSKI;MEC;24;2022-11-22 14:30:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;AUSTRÁLIA;DUKE;ATA;15;2022-11-22 18:09:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;AUSTRÁLIA;IRVINE;VOL;22;2022-11-22 18:34:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;AUSTRÁLIA;MOOY;VOL;13;2022-11-22 18:49:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;MORROCOS;AMRABAT;VOL;4;2022-11-23 08:32:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;COSTA RICA;CALVO;ZAE;15;2022-11-23 14:22:00;2;1;AMARELO
