NOMFASE;NUMRODADA;NOMSELECAO;NOMJOGADOR;NOMPOSICAO;NUMCAMISA;INDTITULARIDADE
FASE DE GRUPO;1ª RODADA;CATAR;AL-SHEEB;GOL;1;TITULAR
FASE DE GRUPO;1ª RODADA;CATAR;PEDRO MIGUEL;LAD;2;TITULAR
FASE DE GRUPO;1ª RODADA;CATAR;AL-RAWI;ZAD;15;TITULAR
FASE DE GRUPO;1ª RODADA;CATAR;KHOUKHI;ZAG;16;TITULAR
FASE DE GRUPO;1ª RODADA;CATAR;ABDELKARIM HASSAN;ZAE;3;TITULAR
FASE DE GRUPO;1ª RODADA;CATAR;HOMAM AHMED;LAE;14;TITULAR
FASE DE GRUPO;1ª RODADA;CATAR;HATIM;VOL;6;TITULAR
FASE DE GRUPO;1ª RODADA;CATAR;BOUDIAF;VOL;12;TITULAR
FASE DE GRUPO;1ª RODADA;CATAR;AL-HAYDOS;MEC;10;TITULAR
FASE DE GRUPO;1ª RODADA;CATAR;MOHAMMED WAAD;VOL;4;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;AKRAM AFIF;ATA;11;TITULAR
FASE DE GRUPO;1ª RODADA;CATAR;ALMOEZ ALI;ATA;19;TITULAR
FASE DE GRUPO;1ª RODADA;CATAR;MUNTARI;ATA;9;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;YOUSEF HASSAN;GOL;21;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;BARSHAM;GOL;22;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;KHIDIR;LAD;13;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;GABER ABDULSALLAM;ZAD;25;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;SALMAN;ZAE;5;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;AL-HAJRI;VOL;20;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;MADIBO;VOL;23;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;MASHAAL;VOL;26;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;ALI ASAD;MEC;8;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;ISMAEEL MOHAMMED;MEC;17;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;AL-HADHRAMI;MEC;24;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;AHMED ALAAELDIN;ATA;7;RESERVA
FASE DE GRUPO;1ª RODADA;CATAR;MUNEER MAZEED;ATA;18;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;GALÍNDEZ;GOL;1;TITULAR
FASE DE GRUPO;1ª RODADA;EQUADOR;ÁNGELO PRECIADO;LAD;17;TITULAR
FASE DE GRUPO;1ª RODADA;EQUADOR;FÉLIX TORRES;ZAD;2;TITULAR
FASE DE GRUPO;1ª RODADA;EQUADOR;HINCAPIÉ;ZAE;3;TITULAR
FASE DE GRUPO;1ª RODADA;EQUADOR;ESTUPIÑÁN;LAE;7;TITULAR
FASE DE GRUPO;1ª RODADA;EQUADOR;JHEGSON MÉNDEZ;VOL;20;TITULAR
FASE DE GRUPO;1ª RODADA;EQUADOR;MOISÉS CAICEDO;VOL;23;TITULAR
FASE DE GRUPO;1ª RODADA;EQUADOR;ALAN FRANCO;VOL;21;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;PLATA;MEC;19;TITULAR
FASE DE GRUPO;1ª RODADA;EQUADOR;ROMARIO IBARRA;MEC;10;TITULAR
FASE DE GRUPO;1ª RODADA;EQUADOR;SARMIENTO;MEC;16;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;ESTRADA;ATA;11;TITULAR
FASE DE GRUPO;1ª RODADA;EQUADOR;KEVIN RODRÍGUEZ;ATA;26;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;ENNER VALENCIA;ATA;13;TITULAR
FASE DE GRUPO;1ª RODADA;EQUADOR;CIFUENTES;VOL;5;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;MOISÉS RAMÍREZ;GOL;12;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;DOMÍNGUEZ;GOL;22;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;ARBOLEDA;ZAD;4;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;ARREAGA;ZAD;14;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;POROZO;ZAD;25;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;PACHO;ZAE;6;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;PALACIOS;LAE;18;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;GRUEZO;VOL;8;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;MENA;MEC;15;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;AYRTON PRECIADO;ATA;9;RESERVA
FASE DE GRUPO;1ª RODADA;EQUADOR;REASCO;ATA;24;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;ÉDOUARD MENDY;GOL;16;TITULAR
FASE DE GRUPO;1ª RODADA;SENEGAL;SABALY;LAD;21;TITULAR
FASE DE GRUPO;1ª RODADA;SENEGAL;KOULIBALY;ZAD;3;TITULAR
FASE DE GRUPO;1ª RODADA;SENEGAL;CISSÉ;ZAE;4;TITULAR
FASE DE GRUPO;1ª RODADA;SENEGAL;ABDOU DIALLO;LAE;22;TITULAR
FASE DE GRUPO;1ª RODADA;SENEGAL;JAKOBS;LAE;14;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;KOUYATÉ;VOL;8;TITULAR
FASE DE GRUPO;1ª RODADA;SENEGAL;PAPE GUEYE;VOL;26;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;GANA GUEYE;VOL;5;TITULAR
FASE DE GRUPO;1ª RODADA;SENEGAL;NAMPALYS MENDY;VOL;6;TITULAR
FASE DE GRUPO;1ª RODADA;SENEGAL;DIATTA;ATA;15;TITULAR
