NOMFASE;NUMRODADA;NOMSELECAO;NUMFINALIZACOES;NUMFINALIZACAOGOL;NUMFINALIZACAOFORA;NUMFINALIZACAONATRAVE;NUMFINALIZACAOBLOQUEADAS;NUMPENALTI;NUMIMPEDIMENTO;NUMDEFESAS;NUMDESARME;NUMFALTACOMETIDA;NUMFALTARECEBIDA
FASE DE GRUPO;1ª RODADA;CATAR;5;0;5;0;0;1;3;1;11;14;15
FASE DE GRUPO;1ª RODADA;EQUADOR;6;3;3;0;0;1;4;0;19;15;14
FASE DE GRUPO;1ª RODADA;INGLATERRA;13;7;2;1;3;0;2;1;10;8;14
FASE DE GRUPO;1ª RODADA;IRÃ;8;2;4;1;1;1;2;3;16;14;8
FASE DE GRUPO;1ª RODADA;SENEGAL;15;4;9;0;2;0;2;4;12;13;13
FASE DE GRUPO;1ª RODADA;HOLANDA;10;3;5;0;2;0;1;6;15;13;13
FASE DE GRUPO;1ª RODADA;EUA;6;1;3;1;1;0;1;2;10;14;10
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;7;3;3;0;1;1;1;2;19;10;14
FASE DE GRUPO;1ª RODADA;ARGENTINA;13;6;5;0;2;1;10;1;11;7;20
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;3;2;0;0;1;0;1;5;15;20;7
FASE DE GRUPO;1ª RODADA;DINAMARCA;9;3;2;1;3;0;1;7;14;9;10
FASE DE GRUPO;1ª RODADA;TUNÍSIA;12;1;7;0;4;0;1;4;20;10;9
FASE DE GRUPO;1ª RODADA;MÉXICO;11;4;4;0;3;0;3;3;13;13;15
FASE DE GRUPO;1ª RODADA;POLÔNIA;6;2;3;0;1;1;0;6;12;15;13
FASE DE GRUPO;1ª RODADA;FRANÇA;21;7;8;0;6;0;0;0;14;5;11
FASE DE GRUPO;1ª RODADA;AUSTRÁLIA;4;1;2;1;0;0;0;9;13;11;5
FASE DE GRUPO;1ª RODADA;MORROCOS;7;2;0;0;5;0;0;1;23;16;11
FASE DE GRUPO;1ª RODADA;CROÁCIA;5;2;2;0;1;0;1;5;20;11;16
FASE DE GRUPO;1ª RODADA;ALEMANHA;25;8;9;2;6;1;4;3;11;6;13
FASE DE GRUPO;1ª RODADA;JAPÃO;11;3;7;0;1;0;4;11;14;13;6
FASE DE GRUPO;1ª RODADA;ESPANHA;16;7;7;0;2;1;3;0;9;8;11
FASE DE GRUPO;1ª RODADA;COSTA RICA;0;0;0;0;0;0;7;3;18;11;8
FASE DE GRUPO;1ª RODADA;BÉLGICA;9;6;3;0;0;0;0;9;13;10;14
FASE DE GRUPO;1ª RODADA;CANADA;22;12;3;0;7;0;1;5;15;14;10
FASE DE GRUPO;1ª RODADA;SUIÇA;7;3;4;0;0;0;2;4;8;12;11
FASE DE GRUPO;1ª RODADA;CAMARÕES;7;4;3;0;0;0;2;2;14;11;12
FASE DE GRUPO;1ª RODADA;URUGUAI;8;0;4;2;2;0;1;1;18;7;10
FASE DE GRUPO;1ª RODADA;COREIA DO SUL;6;0;5;0;1;0;0;2;10;10;7
