NOMFASE;NUMRODADA;NOMSELECAO;NOMJOGADOR;NOMPOSICAO;NUMCAMISA;DTHJOGO;DTHGOL;INDTEMPOJOGO;TPOFORMAGOL;NUMGOL;INDPENALTICONVERTIDO
FASE DE GRUPO;1ª RODADA;EQUADOR;ENNER VALENCIA;ATA;13;2022-11-20 13:00:00;2022-11-20 13:15:00;PRIMEIRO TEMPO;PÊNALTI;1;S
FASE DE GRUPO;1ª RODADA;EQUADOR;ENNER VALENCIA;ATA;13;2022-11-20 13:00:00;2022-11-20 13:30:00;PRIMEIRO TEMPO;CABEÇA;1; 
FASE DE GRUPO;1ª RODADA;INGLATERRA;BELLINGHAM;VOL;22;2022-11-21 10:00:00;2022-11-21 10:34:00;PRIMEIRO TEMPO;CABEÇA;1; 
FASE DE GRUPO;1ª RODADA;INGLATERRA;SAKA;MEC;17;2022-11-21 10:00:00;2022-11-21 10:42:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;INGLATERRA;STERLING;MEC;10;2022-11-21 10:00:00;2022-11-21 10:45:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;INGLATERRA;SAKA;MEC;17;2022-11-21 10:00:00;2022-11-21 11:16:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;IRÃ;TAREMI;ATA;9;2022-11-21 10:00:00;2022-11-21 11:19:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;INGLATERRA;RASHFORD;ATA;11;2022-11-21 10:00:00;2022-11-21 11:25:00;SEGUNDO TEMPO;CABEÇA;1; 
FASE DE GRUPO;1ª RODADA;INGLATERRA;GREALISH;MEC;7;2022-11-21 10:00:00;2022-11-21 11:43:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;IRÃ;TAREMI;ATA;9;2022-11-21 10:00:00;2022-11-21 11:57:00;SEGUNDO TEMPO;PÊNALTI;1;S
FASE DE GRUPO;1ª RODADA;HOLANDA;GAKPO;MEC;8;2022-11-21 13:00:00;2022-11-21 14:38:00;SEGUNDO TEMPO;CABEÇA;1; 
FASE DE GRUPO;1ª RODADA;HOLANDA;KLAASSEN;MEC;14;2022-11-21 13:00:00;2022-11-21 14:53:00;SEGUNDO TEMPO;REBOTE;1; 
FASE DE GRUPO;1ª RODADA;EUA;WEAH;ATA;21;2022-11-21 16:00:00;2022-11-21 16:35:00;PRIMEIRO TEMPO;REBOTE;1; 
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;BALE;ATA;11;2022-11-21 16:00:00;2022-11-21 17:36:00;SEGUNDO TEMPO;PÊNALTI;1;S
FASE DE GRUPO;1ª RODADA;ARGENTINA;MESSI;ATA;10;2022-11-22 07:00:00;2022-11-22 07:09:00;PRIMEIRO TEMPO;PÊNALTI;1;S
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;AL-SHEHRI;ATA;11;2022-11-22 07:00:00;2022-11-22 08:02:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;SALEM AL-DAWSARI;ATA;10;2022-11-22 07:00:00;2022-11-22 08:07:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;POLÔNIA;LEWANDOWSKI;ATA;9;2022-11-22 13:00:00;2022-11-22 14:12:00;SEGUNDO TEMPO;PÊNALTI;0;N
FASE DE GRUPO;1ª RODADA;AUSTRÁLIA;GOODWIN;MEC;23;2022-11-22 16:00:00;2022-11-22 16:08:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;FRANÇA;RABIOT;VOL;14;2022-11-22 16:00:00;2022-11-22 16:26:00;PRIMEIRO TEMPO;CABEÇA;1; 
FASE DE GRUPO;1ª RODADA;FRANÇA;GIROUD;ATA;9;2022-11-22 16:00:00;2022-11-22 16:31:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;FRANÇA;MBAPPÉ;ATA;10;2022-11-22 16:00:00;2022-11-22 17:22:00;SEGUNDO TEMPO;CABEÇA;1; 
FASE DE GRUPO;1ª RODADA;FRANÇA;GIROUD;ATA;9;2022-11-22 16:00:00;2022-11-22 17:25:00;SEGUNDO TEMPO;CABEÇA;1; 
FASE DE GRUPO;1ª RODADA;ALEMANHA;GÜNDOGAN;VOL;21;2022-11-23 10:00:00;2022-11-23 10:32:00;PRIMEIRO TEMPO;FORA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;JAPÃO;DOAN;ATA;8;2022-11-23 10:00:00;2022-11-23 11:29:00;SEGUNDO TEMPO;REBOTE;1; 
FASE DE GRUPO;1ª RODADA;JAPÃO;ASANO;ATA;18;2022-11-23 10:00:00;2022-11-23 11:37:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;ESPANHA;DANI OLMO;ATA;21;2022-11-23 13:00:00;2022-11-23 13:10:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;ESPANHA;ASENSIO;ATA;10;2022-11-23 13:00:00;2022-11-23 13:20:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;ESPANHA;FERRÁN TORRES;ATA;11;2022-11-23 13:00:00;2022-11-23 13:30:00;PRIMEIRO TEMPO;PÊNALTI;1;S
