NOMJOGADOR;NUMCAMISA;NOMPOSICAO;NOMSELECAO
AL-SHEEB;1;GOL;CATAR
PEDRO MIGUEL;2;LAD;CATAR
ABDELKARIM HASSAN;3;ZAE;CATAR
MOHAMMED WAAD;4;VOL;CATAR
SALMAN;5;ZAE;CATAR
HATIM;6;VOL;CATAR
AHMED ALAAELDIN;7;ATA;CATAR
ALI ASAD;8;MEC;CATAR
MUNTARI;9;ATA;CATAR
AL-HAYDOS;10;MEC;CATAR
AKRAM AFIF;11;ATA;CATAR
BOUDIAF;12;VOL;CATAR
KHIDIR;13;LAD;CATAR
HOMAM AHMED;14;LAE;CATAR
AL-RAWI;15;ZAD;CATAR
KHOUKHI;16;ZAG;CATAR
ISMAEEL MOHAMMED;17;MEC;CATAR
MUNEER MAZEED;18;ATA;CATAR
ALMOEZ ALI;19;ATA;CATAR
AL-HAJRI;20;VOL;CATAR
YOUSEF HASSAN;21;GOL;CATAR
BARSHAM;22;GOL;CATAR
MADIBO;23;VOL;CATAR
AL-HADHRAMI;24;MEC;CATAR
GABER ABDULSALLAM;25;ZAD;CATAR
MASHAAL;26;VOL;CATAR
JOGADOR GOL CONTRA;99;ATA;CATAR
GALÍNDEZ;1;GOL;EQUADOR
FÉLIX TORRES;2;ZAD;EQUADOR
HINCAPIÉ;3;ZAE;EQUADOR
ARBOLEDA;4;ZAD;EQUADOR
CIFUENTES;5;VOL;EQUADOR
PACHO;6;ZAE;EQUADOR
ESTUPIÑÁN;7;LAE;EQUADOR
GRUEZO;8;VOL;EQUADOR
AYRTON PRECIADO;9;ATA;EQUADOR
ROMARIO IBARRA;10;MEC;EQUADOR
ESTRADA;11;ATA;EQUADOR
MOISÉS RAMÍREZ;12;GOL;EQUADOR
ENNER VALENCIA;13;ATA;EQUADOR
ARREAGA;14;ZAD;EQUADOR
MENA;15;MEC;EQUADOR
SARMIENTO;16;MEC;EQUADOR
ÁNGELO PRECIADO;17;LAD;EQUADOR
PALACIOS;18;LAE;EQUADOR
PLATA;19;MEC;EQUADOR
JHEGSON MÉNDEZ;20;VOL;EQUADOR
ALAN FRANCO;21;VOL;EQUADOR
DOMÍNGUEZ;22;GOL;EQUADOR
MOISÉS CAICEDO;23;VOL;EQUADOR
REASCO;24;ATA;EQUADOR
POROZO;25;ZAD;EQUADOR
KEVIN RODRÍGUEZ;26;ATA;EQUADOR
JOGADOR GOL CONTRA;99;ATA;EQUADOR
SENY DIENG;1;GOL;SENEGAL
FORMOSE MENDY;2;ZAD;SENEGAL
KOULIBALY;3;ZAD;SENEGAL
CISSÉ;4;ZAE;SENEGAL
GANA GUEYE;5;VOL;SENEGAL
NAMPALYS MENDY;6;VOL;SENEGAL
NICOLAS JACKSON;7;ATA;SENEGAL
KOUYATÉ;8;VOL;SENEGAL
BOULAYE DIA;9;ATA;SENEGAL
MOUSSA N´DIAYE;10;LAE;SENEGAL
CISS;11;VOL;SENEGAL
BALLO-TOURÉ;12;LAE;SENEGAL
ILIMAN NDIAYE;13;MEC;SENEGAL
JAKOBS;14;LAE;SENEGAL
DIATTA;15;ATA;SENEGAL
ÉDOUARD MENDY;16;GOL;SENEGAL
PAPE SARR;17;VOL;SENEGAL
ISMAILA SARR;18;ATA;SENEGAL
DIÉDHIOU;19;ATA;SENEGAL
BAMBA DIENG;20;ATA;SENEGAL
SABALY;21;LAD;SENEGAL
ABDOU DIALLO;22;LAE;SENEGAL
GOMIS;23;GOL;SENEGAL
NAME;24;VOL;SENEGAL
LOUM NDIAYE;25;VOL;SENEGAL
PAPE GUEYE;26;VOL;SENEGAL
JOGADOR GOL CONTRA;99;ATA;SENEGAL
PASVEER;1;GOL;HOLANDA
TIMBER;2;ZAD;HOLANDA
DE LIGT;3;ZAD;HOLANDA
VAN DIJK;4;ZAG;HOLANDA
AKÉ;5;ZAE;HOLANDA
DE VRIJ;6;ZAD;HOLANDA
BERGWIJN;7;ATA;HOLANDA
GAKPO;8;MEC;HOLANDA
LUUK DE JONG;9;ATA;HOLANDA
MEMPHIS DEPAY;10;ATA;HOLANDA
BERGHUIS;11;VOL;HOLANDA
LANG;12;ATA;HOLANDA
BIJLOW;13;GOL;HOLANDA
KLAASSEN;14;MEC;HOLANDA
DE ROON;15;VOL;HOLANDA
MALACIA;16;LAE;HOLANDA
BLIND;17;LAE;HOLANDA
JANSSEN;18;ATA;HOLANDA
WEGHORST;19;ATA;HOLANDA
KOOPMEINERS;20;VOL;HOLANDA
FRENKIE DE JONG;21;VOL;HOLANDA
DUMFRIES;22;LAD;HOLANDA
NOPPERT;23;GOL;HOLANDA
TAYLOR;24;VOL;HOLANDA
SIMONS;25;MEC;HOLANDA
FRIMPONG;26;LAD;HOLANDA
JOGADOR GOL CONTRA;99;ATA;HOLANDA
PICKFORD;1;GOL;INGLATERRA
WALKER;2;LAD;INGLATERRA
SHAW;3;LAE;INGLATERRA
RICE;4;VOL;INGLATERRA
STONES;5;ZAD;INGLATERRA
MAGUIRE;6;ZAE;INGLATERRA
GREALISH;7;MEC;INGLATERRA
HENDERSON;8;VOL;INGLATERRA
HARRY KANE;9;ATA;INGLATERRA
STERLING;10;MEC;INGLATERRA
RASHFORD;11;ATA;INGLATERRA
TRIPPIER;12;LAD;INGLATERRA
POPE;13;GOL;INGLATERRA
KALVIN PHILLIPS;14;VOL;INGLATERRA
DIER;15;ZAD;INGLATERRA
COADY;16;ZAD;INGLATERRA
SAKA;17;MEC;INGLATERRA
ALEXANDER-ARNOLD;18;LAD;INGLATERRA
MOUNT;19;MEC;INGLATERRA
FODEN;20;MEC;INGLATERRA
WHITE;21;ZAD;INGLATERRA
BELLINGHAM;22;VOL;INGLATERRA
RAMSDALE;23;GOL;INGLATERRA
CALLUM WILSON;24;ATA;INGLATERRA
GALLAGHER;26;VOL;INGLATERRA
JOGADOR GOL CONTRA;99;ATA;INGLATERRA
