NOMFASE;NUMRODADA;IDJOGO;NOMSELECAOMANDANTE;NOMSELECAOVISITANTE;DTHJOGO;NUMGOLMANDANTE;NUMGOLVISITANTE;NumGolSelecaoMandanteProrrogacao;NumGolSelecaoVisitanteProrrogacao;NumPenaltisConvertidoSelecaoMandante;NumPenaltisPerdidoSelecaoMandante;NumPenaltisConvertidoSelecaoVisitante;NumPenaltisPerdidoSelecaoVisitante;INDTERMINOPARTIDA;DSCVENCEDORJOGO;NOMESTADIO;NUMPUBLICOPRESENTE;NOMARBITRO;NOMASSISTENTE01;NOMASSISTENTE02;NOMQUARTOARBITRO
FASE DE GRUPO;1ª RODADA;1;CATAR;EQUADOR;2022-11-20 13:00:00;0;2;0;0;0;0;0;0;NORMAL;EQUADOR;AL BAYT STADIUM;67372;DANIELE ORSATO;CIRO CARBONE;ALESSANDRO GIALLATINI;ISTVAN KOVACS
FASE DE GRUPO;1ª RODADA;7;INGLATERRA;IRÃ;2022-11-21 10:00:00;6;2;0;0;0;0;0;0;NORMAL;INGLATERRA;KHALIFA INTERNACIONAL STADIUM;45334;RAPHAEL CLAUS;RODRIGO FIGUEIREDO HENRIQUE CORREA;DANILO RICARDO SIMON MANIS;KEVIN ORTEGA
FASE DE GRUPO;1ª RODADA;2;SENEGAL;HOLANDA;2022-11-21 13:00:00;0;2;0;0;0;0;0;0;NORMAL;HOLANDA;AL THUMAMA STADIUM;41721;WILTON PEREIRA SAMPAIO;BRUNO BOSCHILIA;BRUNO RAPHAEL PIRES;ANDRÉS MATONTE
FASE DE GRUPO;1ª RODADA;8;EUA;PAÍS DE GALES;2022-11-21 16:00:00;1;1;0;0;0;0;0;0;NORMAL;EMPATE;AHMAD BIN ALI STADIUM;43418;AL JASSIM ABDULRAHMAN;TALEB AL MARRI;SAOUD AHMED ALMAQALEH;MA NING
FASE DE GRUPO;1ª RODADA;13;ARGENTINA;ARÁBIA SAUDITA;2022-11-22 07:00:00;1;2;0;0;0;0;0;0;NORMAL;ARÁBIA SAUDITA;LUSAIL STADIUM;88012;SLAVKO VINCIC;TOMAZ KLANCNIK;ANDRAZ KOVACIC;MAGUETTE NDIAYE
FASE DE GRUPO;1ª RODADA;19;DINAMARCA;TUNÍSIA;2022-11-22 10:00:00;0;0;0;0;0;0;0;0;NORMAL;EMPATE;EDUCATION CITY STADIUM;42925;CÉSAR RAMOS;ALBERTO MORÍN;MIGUEL ÁNGEL HERNÁNDEZ;SAÍD MARTÍNEZ
FASE DE GRUPO;1ª RODADA;14;MÉXICO;POLÔNIA;2022-11-22 13:00:00;0;0;0;0;0;0;0;0;NORMAL;EMPATE;AL JANOUD STADIUM;39369;CHRIS BEATH;ANTON SCHETININ;ASHLEY BEECHAM;STÉPHANIE FRAPPART
FASE DE GRUPO;1ª RODADA;20;FRANÇA;AUSTRÁLIA;2022-11-22 16:00:00;4;1;0;0;0;0;0;0;NORMAL;FRANÇA;AL JANOUD STADIUM;40875;VICTOR GOMES;ZAKHELE SIWELA;SOURU PHATSOANE;SALIMA MUKANSANGA
FASE DE GRUPO;1ª RODADA;31;MORROCOS;CROÁCIA;2022-11-23 07:00:00;0;0;0;0;0;0;0;0;NORMAL;EMPATE;AL BAYT STADIUM;59407;FERNANDO RAPALLINI;JUAN PABLO BELATTI;DIEGO BONFA;KEVIN ORTEGA
FASE DE GRUPO;1ª RODADA;25;ALEMANHA;JAPÃO;2022-11-23 10:00:00;1;2;0;0;0;0;0;0;NORMAL;JAPÃO;KHALIFA INTERNACIONAL STADIUM;42608;IVAN ARCIDES BARTON CISNEROS;DAVID JONATHAN MORÁN SANTOS;ZACHARI ZEEGELAAR;HÉCTOR SAID MARTÍNEZ SORTO
