NUMPOSICAO;NOMGRUPO;NOMSELECAO;NUMPONTOS;NUMJOGOS;NUMVITORIA;NUMEMPATE;NUMDERROTA;NUMGOLPRO;NUMGOLCONTRA;NUMGOLSALDO;NumPublicoPresente;NUMCARTAOAMARELO;NUMCARTAOVERMELHO;PERCAPROVEITAMENTO
1;GRUPO A;HOLANDA;7;3;2;1;0;18;10;8;153338;19;0;77.78
2;GRUPO A;SENEGAL;6;3;2;0;1;13;11;2;128087;8;0;66.67
3;GRUPO A;EQUADOR;4;3;1;1;1;6;8;-2;156774;3;0;44.44
4;GRUPO A;CATAR;0;3;0;0;3;4;12;-8;175953;7;0;0.0
1;GRUPO B;INGLATERRA;7;3;2;1;0;23;11;12;158056;5;0;77.78
2;GRUPO B;EUA;5;3;1;2;0;9;5;4;154008;4;0;55.56
3;GRUPO B;IRÃ;3;3;1;0;2;10;12;-2;128336;6;0;33.33
4;GRUPO B;PAÍS DE GALES;1;3;0;1;2;2;12;-10;128552;5;1;11.11
1;GRUPO C;ARGENTINA;6;3;2;0;1;28;20;8;221067;22;0;66.67
2;GRUPO C;POLÔNIA;4;3;1;1;1;10;6;4;127717;9;0;44.44
3;GRUPO C;MÉXICO;4;3;1;1;1;5;5;0;172594;7;0;44.44
4;GRUPO C;ARÁBIA SAUDITA;3;3;1;0;2;7;9;-2;176530;13;0;33.33
1;GRUPO D;FRANÇA;6;3;2;0;1;25;11;14;127362;9;0;66.67
2;GRUPO D;AUSTRÁLIA;6;3;2;0;1;12;8;4;123930;9;0;66.67
3;GRUPO D;TUNÍSIA;4;3;1;1;1;2;2;0;128375;5;0;44.44
4;GRUPO D;DINAMARCA;1;3;0;1;2;4;4;0;127017;5;0;11.11
1;GRUPO E;JAPÃO;6;3;2;0;1;9;9;0;128938;4;0;66.67
2;GRUPO E;ESPANHA;4;3;1;1;1;25;5;20;153759;3;0;44.44
3;GRUPO E;ALEMANHA;4;3;1;1;1;10;12;-2;155762;3;0;44.44
4;GRUPO E;COSTA RICA;3;3;1;0;2;12;16;-4;125751;5;0;33.33
1;GRUPO F;MORROCOS;7;3;2;1;0;11;5;6;146247;10;2;77.78
2;GRUPO F;CROÁCIA;5;3;1;2;0;20;12;8;147765;14;0;55.56
3;GRUPO F;BÉLGICA;4;3;1;1;1;2;4;-2;128154;3;0;44.44
4;GRUPO F;CANADA;0;3;0;0;3;8;10;-2;127908;8;0;0.0
1;GRUPO G;BRASIL;6;3;2;0;1;25;9;16;218072;9;0;66.67
2;GRUPO G;SUIÇA;6;3;2;0;1;20;8;12;124450;9;0;66.67
3;GRUPO G;CAMARÕES;4;3;1;1;1;9;7;2;164864;7;1;44.44
4;GRUPO G;SÉRVIA;1;3;0;1;2;12;14;-2;169270;11;0;11.11
1;GRUPO H;PORTUGAL;6;3;2;0;1;27;9;18;175427;7;0;66.67
2;GRUPO H;COREIA DO SUL;4;3;1;1;1;16;10;6;129743;7;0;44.44
3;GRUPO H;URUGUAI;4;3;1;1;1;4;4;0;173774;7;0;44.44
4;GRUPO H;GANA;3;3;1;0;2;10;14;-4;130088;8;0;33.33
