NOMSELECAO;DSCORIGEMSELECAO;NOMTREINADOR
CATAR;AS;FÉLIX SÁNCHEZ
EQUADOR;SA;GUSTAVO ALFARO
SENEGAL;AF;ALIOU CISSÉ
HOLANDA;EU;LOUIS VAN GAAL 
INGLATERRA;EU;GARETH SOUTHGATE 
IRÃ;AS;CARLOS QUEIROZ
EUA;NA;GREGG BERHALTER
PAÍS DE GALES;EU;ROBERT PAGE
ARGENTINA;SA;LIONEL SCALONI
ARÁBIA SAUDITA;AS;HERVÉ RENARD
MÉXICO;CA;TATA MARTINO 
POLÔNIA;EU;CZESLAW MICHNIEWICZ
FRANÇA;EU;DIDIER DESCHAMPS
AUSTRÁLIA;OC;GRAHAM ARNOLD
DINAMARCA;EU;KASPER HJULMAND
TUNÍSIA;AF;JALEL KADRI 
ESPANHA;EU;LUIS ENRIQUE
COSTA RICA;CA;LUIS FERNANDO SUÁREZ
ALEMANHA;EU;HANSI-DIETES FLICK
JAPÃO;AS;HAJIME MORIYASU
BÉLGICA;EU;ROBERTO MARTÍNEZ
CANADA;NA;JOHN HERDMAN
MORROCOS;AF;VAHID HALILHODZIC
CROÁCIA;EU;ZLATKO DALIC
BRASIL;SA;TITE
SÉRVIA;EU;DRAGAN STOJKOVIC
SUIÇA;EU;MURAT YAKIN
CAMARÕES;AF;RIGOBERT SONG
PORTUGAL;EU;FERNANDO SANTOS
GANA;AF;OTTO ADDO
URUGUAI;SA;DIEGO ALONSO
COREIA DO SUL;AF;PAULO BENTO
