NOMFASE;NUMRODADA;NOMSELECAO;NOMJOGADORSUBSTITUIDO;NOMJOGADORSUBSTITUTO;DTHSUBSTITUICAO;INDTEMPOJOGO;INDLESAO
FASE DE GRUPO;1ª RODADA;EQUADOR;ROMARIO IBARRA;SARMIENTO;2022-11-20 14:21:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CATAR;AL-HAYDOS;MOHAMMED WAAD;2022-11-20 14:25:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CATAR;ALMOEZ ALI;MUNTARI;2022-11-20 14:25:00;2;NÃO
FASE DE GRUPO;1ª RODADA;EQUADOR;ENNER VALENCIA;CIFUENTES;2022-11-20 14:30:00;2;NÃO
FASE DE GRUPO;1ª RODADA;EQUADOR;ESTRADA;KEVIN RODRÍGUEZ;2022-11-20 14:44:00;2;NÃO
FASE DE GRUPO;1ª RODADA;EQUADOR;MOISÉS CAICEDO;ALAN FRANCO;2022-11-20 14:44:00;2;NÃO
FASE DE GRUPO;1ª RODADA;IRÃ;BEIRANVAND;HOSSEIN HOSSEINI;2022-11-21 10:18:00;1;SIM
FASE DE GRUPO;1ª RODADA;IRÃ;JAHANBAKHSH;GHOLIZADEH;2022-11-21 10:45:00;1;NÃO
FASE DE GRUPO;1ª RODADA;IRÃ;CHESHMI;KANAANI;2022-11-21 11:00:00;2;NÃO
FASE DE GRUPO;1ª RODADA;IRÃ;KARIMI;EZATOLAHI;2022-11-21 11:01:00;2;NÃO
FASE DE GRUPO;1ª RODADA;IRÃ;MOHAMMADI;TORABI;2022-11-21 11:18:00;2;NÃO
FASE DE GRUPO;1ª RODADA;INGLATERRA;MAGUIRE;DIER;2022-11-21 11:24:00;2;NÃO
FASE DE GRUPO;1ª RODADA;INGLATERRA;STERLING;GREALISH;2022-11-21 11:24:00;2;NÃO
FASE DE GRUPO;1ª RODADA;INGLATERRA;SAKA;RASHFORD;2022-11-21 11:24:00;2;NÃO
FASE DE GRUPO;1ª RODADA;INGLATERRA;HARRY KANE;CALLUM WILSON;2022-11-21 11:24:00;2;NÃO
FASE DE GRUPO;1ª RODADA;INGLATERRA;MOUNT;FODEN;2022-11-21 11:25:00;2;NÃO
FASE DE GRUPO;1ª RODADA;SENEGAL;ABDOU DIALLO;JAKOBS;2022-11-21 14:16:00;2;NÃO
FASE DE GRUPO;1ª RODADA;HOLANDA;JANSSEN;MEMPHIS DEPAY;2022-11-21 14:16:00;2;NÃO
FASE DE GRUPO;1ª RODADA;SENEGAL;BOULAYE DIA;BAMBA DIENG;2022-11-21 14:22:00;2;NÃO
FASE DE GRUPO;1ª RODADA;SENEGAL;KOUYATÉ;PAPE GUEYE;2022-11-21 14:26:00;2;NÃO
FASE DE GRUPO;1ª RODADA;SENEGAL;DIATTA;NICOLAS JACKSON;2022-11-21 14:28:00;2;NÃO
FASE DE GRUPO;1ª RODADA;HOLANDA;BERGWIJN;KLAASSEN;2022-11-21 14:32:00;2;NÃO
FASE DE GRUPO;1ª RODADA;HOLANDA;BERGHUIS;KOOPMEINERS;2022-11-21 14:33:00;2;NÃO
FASE DE GRUPO;1ª RODADA;HOLANDA;GAKPO;DE ROON;2022-11-21 14:48:00;2;NÃO
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;DANIEL JAMES;MOORE;2022-11-21 17:00:00;2;NÃO
FASE DE GRUPO;1ª RODADA;EUA;MCKENNIE;AARONSON;2022-11-21 17:21:00;2;NÃO
FASE DE GRUPO;1ª RODADA;EUA;MUSAH;ACOSTA;2022-11-21 17:28:00;2;NÃO
FASE DE GRUPO;1ª RODADA;EUA;DEST;YEDLIN;2022-11-21 17:28:00;2;NÃO
FASE DE GRUPO;1ª RODADA;EUA;SARGENT;WRIGHT;2022-11-21 17:28:00;2;NÃO
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;NECO WILLIAMS;BRENNAN JOHNSON;2022-11-21 17:33:00;2;NÃO
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;HARRY WILSON;SORBA THOMAS;2022-11-21 17:42:00;2;NÃO
FASE DE GRUPO;1ª RODADA;EUA;WEAH;MORRIS;2022-11-21 17:42:00;2;NÃO
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;AMPADU;MORRELL;2022-11-21 17:49:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;AL-FARAJ;AL-ABID;2022-11-22 07:47:00;1;NÃO
FASE DE GRUPO;1ª RODADA;ARGENTINA;CRISTIAN ROMERO;LISANDRO MARTÍNEZ;2022-11-22 08:13:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ARGENTINA;PAREDES;ENZO FERNÁNDEZ;2022-11-22 08:13:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ARGENTINA;PAPU GÓMEZ;JULIÁN ÁLVAREZ;2022-11-22 08:13:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ARGENTINA;TAGLIAFICO;ACUÑA;2022-11-22 08:24:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;AL-SHEHRI;AL-GHANAM;2022-11-22 08:32:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;AL-ABID;AL-AMRI;2022-11-22 08:42:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;AL-BRIKAN;ASIRI;2022-11-22 08:43:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ARÁBIA SAUDITA;AL-SHAHRANI;AL-BURAYK;2022-11-22 08:53:00;2;SIM
FASE DE GRUPO;1ª RODADA;DINAMARCA;DELANEY;DAMSGAARD;2022-11-22 10:45:00;1;NÃO
FASE DE GRUPO;1ª RODADA;DINAMARCA;KJAER;JENSEN;2022-11-22 11:19:00;2;NÃO
FASE DE GRUPO;1ª RODADA;DINAMARCA;SKOV OLSEN;LINDSTRÖM;2022-11-22 11:20:00;2;NÃO
FASE DE GRUPO;1ª RODADA;DINAMARCA;DOLBERG;CORNELIUS;2022-11-22 11:20:00;2;NÃO
FASE DE GRUPO;1ª RODADA;TUNÍSIA;SLIMANE;SLITI;2022-11-22 11:21:00;2;NÃO
FASE DE GRUPO;1ª RODADA;TUNÍSIA;MSAKNI;HANNIBAL MEJBRI;2022-11-22 11:33:00;2;NÃO
FASE DE GRUPO;1ª RODADA;TUNÍSIA;JEBALI;KHENISSI;2022-11-22 11:34:00;2;NÃO
FASE DE GRUPO;1ª RODADA;TUNÍSIA;DRÄGER;KECHRIDA;2022-11-22 11:42:00;2;NÃO
FASE DE GRUPO;1ª RODADA;TUNÍSIA;LAÏDOUNI;SASSI;2022-11-22 11:42:00;2;NÃO
FASE DE GRUPO;1ª RODADA;POLÔNIA;ZALEWSKI;BIELIK;2022-11-22 14:01:00;2;NÃO
FASE DE GRUPO;1ª RODADA;MÉXICO;HÉCTOR HERRERA;CARLOS RODRÍGUEZ;2022-11-22 14:25:00;2;NÃO
FASE DE GRUPO;1ª RODADA;POLÔNIA;SEBASTIAN SZYMANSKI;FRANKOWSKI;2022-11-22 14:26:00;2;NÃO
FASE DE GRUPO;1ª RODADA;MÉXICO;VEGA;ANTUNA;2022-11-22 14:38:00;2;NÃO
